#id,x,y
58,201079.75,7336455.08
59,204079.75,7336455.08
523,156079.75,7291455.08
89,198079.75,7333455.08
524,159079.75,7291455.08
90,201079.75,7333455.08
91,204079.75,7333455.08
546,129079.75,7288455.08
92,207079.75,7333455.08
554,153079.75,7288455.08
121,198079.75,7330455.08
555,156079.75,7288455.08
122,201079.75,7330455.08
556,159079.75,7288455.08
123,204079.75,7330455.08
557,162079.75,7288455.08
124,207079.75,7330455.08
577,126079.75,7285455.08
578,129079.75,7285455.08
579,132079.75,7285455.08
589,162079.75,7285455.08
609,126079.75,7282455.08
153,198079.75,7327455.08
610,129079.75,7282455.08
154,201079.75,7327455.08
611,132079.75,7282455.08
357,138079.75,7306455.08
155,204079.75,7327455.08
358,141079.75,7306455.08
156,207079.75,7327455.08
641,126079.75,7279455.08
359,144079.75,7306455.08
642,129079.75,7279455.08
673,126079.75,7276455.08
175,168079.75,7324455.08
705,126079.75,7273455.08
176,171079.75,7324455.08
706,129079.75,7273455.08
177,174079.75,7324455.08
736,123079.75,7270455.08
178,177079.75,7324455.08
389,138079.75,7303455.08
390,141079.75,7303455.08
391,144079.75,7303455.08
421,138079.75,7300455.08
422,141079.75,7300455.08
423,144079.75,7300455.08
207,168079.75,7321455.08
208,171079.75,7321455.08
209,174079.75,7321455.08
210,177079.75,7321455.08
453,138079.75,7297455.08
454,141079.75,7297455.08
455,144079.75,7297455.08
459,156079.75,7297455.08
460,159079.75,7297455.08
239,168079.75,7318455.08
240,171079.75,7318455.08
241,174079.75,7318455.08
491,156079.75,7294455.08
492,159079.75,7294455.08
